u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,speed_kph,travel_time,width,junction,bridge,tunnel,access,ref
115578653,434698734,0,191774876,tertiary,2,,,True,False,20.7133076117808,"LINESTRING (-0.413423 39.4972513, -0.4134859 39.4973308, -0.4135781 39.4973909)",41.19402985074627,1.8101629695512786,,roundabout,,,,
115579019,115578653,0,643439053,tertiary,2,,,True,False,30.26400509525973,"LINESTRING (-0.4134495 39.4969891, -0.4134129 39.497051, -0.4133959 39.4971178, -0.4133993 39.4971858, -0.413423 39.4972513)",41.19402985074627,2.6448108800640027,,roundabout,,,,
120296047,5616367197,0,1385785156,secondary,3,,,True,False,3.6327470720853143,"LINESTRING (-0.4245721 39.5061222, -0.424607 39.5061037)",48.38775510204081,0.27027270498348777,,roundabout,,,,
120296061,5616367201,0,1275521949,secondary,3,,,True,False,6.320009513253251,"LINESTRING (-0.4246965 39.5058795, -0.4246622 39.5058292)",48.38775510204081,0.4702023104756953,,roundabout,,,,
120296077,120296083,0,587976577,secondary,3,,,True,False,20.65645779106299,"LINESTRING (-0.4245887 39.505778, -0.4245369 39.5057571, -0.4244804 39.5057455, -0.4244213 39.5057439, -0.4243579 39.5057539)",48.38775510204081,1.536819550545555,,roundabout,,,,
120296083,120296095,0,1385785153,secondary,3,,,True,False,7.850900197604284,"LINESTRING (-0.4243579 39.5057539, -0.4242777 39.5057879)",48.38775510204081,0.5840990277762108,,roundabout,,,,
120296095,571526403,0,142499080,residential,,,Carrer de Navarrés,True,False,30.77208486500611,"LINESTRING (-0.4242777 39.5057879, -0.4241571 39.5057661, -0.424124 39.5057563, -0.4239971 39.505715, -0.4239399 39.5056973)",31.754777070063696,3.488593393982841,,,,,,
120296095,120296100,0,1385785154,secondary,3,,,True,False,18.953960169049775,"LINESTRING (-0.4242777 39.5057879, -0.4242198 39.5058373, -0.4241978 39.5058705, -0.4241792 39.5059355)",48.38775510204081,1.4101554507888572,,roundabout,,,,
120296100,120296117,0,191774858,secondary,3,,,True,False,26.168870484654114,"LINESTRING (-0.4241792 39.5059355, -0.4241814 39.5059743, -0.4241932 39.5060121, -0.4242249 39.5060608, -0.4242702 39.5060997, -0.4243251 39.5061278)",48.38775510204081,1.9469374751130266,,roundabout,,,,
120296117,120296047,0,1385785155,secondary,3,,,True,False,22.014667441541445,"LINESTRING (-0.4243251 39.5061278, -0.4243857 39.5061442, -0.4244492 39.5061488, -0.4245124 39.5061414, -0.4245721 39.5061222)",48.38775510204081,1.6378689737190681,,roundabout,,,,
120296151,322517789,0,587976579,residential,,,,True,False,24.551652115276212,"LINESTRING (-0.4251175 39.5042532, -0.4251605 39.504224, -0.4251983 39.5041895, -0.4252247 39.5041493, -0.4252384 39.5041054, -0.4252391 39.5040642)",31.754777070063696,2.783390587815488,,roundabout,,,,
120296199,120296245,0,587976584,residential,,,,True,False,36.17740169392661,"LINESTRING (-0.4268606 39.503337, -0.4269128 39.5033372, -0.4269632 39.5033253, -0.4269929 39.5033114, -0.4270184 39.5032932, -0.4270455 39.5032616, -0.4270612 39.5032207, -0.4270624 39.5031966, -0.427058 39.5031727, -0.4270444 39.5031435, -0.4270226 39.5031175)",31.754777070063696,4.10138751126413,,roundabout,,,,
120296245,120296266,0,13073106,residential,,,,True,False,21.970045657514422,"LINESTRING (-0.4270226 39.5031175, -0.4269869 39.5030922, -0.4269534 39.5030782, -0.4269167 39.5030702, -0.4268797 39.5030684, -0.4268431 39.5030727, -0.4267908 39.5030907)",31.754777070063696,2.490717040543005,,roundabout,,,,
120296245,9486121101,0,587976571,residential,2,,Senda del Polvorí,True,False,135.22602929735197,"LINESTRING (-0.4270226 39.5031175, -0.4269495 39.5029964, -0.4269349 39.5029727, -0.4268898 39.5028982, -0.4268078 39.50278, -0.4267542 39.5026996, -0.4267133 39.5026283, -0.4265213 39.5022216, -0.426476 39.5021244, -0.4264559 39.5020737, -0.4264501 39.5020326, -0.4264509 39.5019915)",31.754777070063696,15.3304085365286,,,,,,
120296266,5616367170,0,587976583,residential,,,,True,False,6.09274780223557,"LINESTRING (-0.4267908 39.5030907, -0.4267633 39.5031081, -0.4267409 39.5031293)",31.754777070063696,0.6907273207950143,,roundabout,,,,
120324535,344066200,0,45074015,residential,1,,Carrer d'Alfarrasí,True,False,79.62735967769993,"LINESTRING (-0.4263425 39.5019051, -0.4262751 39.50193, -0.4262187 39.5019525, -0.425512 39.5022247)",31.754777070063696,9.027255779728412,,,,,,
120324535,1559462210,0,142497756,residential,2,,Senda del Polvorí,True,False,88.13759745880803,"LINESTRING (-0.4263425 39.5019051, -0.4263478 39.5019429, -0.4263522 39.5019807, -0.4263592 39.5020235, -0.42638 39.5020901, -0.4264657 39.5022707, -0.4266483 39.5026586)",31.754777070063696,9.992050964540828,,,,,,
120324535,"contenedor_SENDA POLVORIN, 22",0,142497756,residential,2,,Senda del Polvorí,True,False,9.212256575498578e-05,"LINESTRING (-0.4263425 39.5019051, -0.426322715777691 39.501815126939206)",31.754777070063696,1.0443821916501447e-05,,,,,,
120324637,344060336,0,13075721,residential,2,,Carrer del Campament,False,False,19.42899585453204,"LINESTRING (-0.4271973 39.4995807, -0.426997 39.4996622)",31.754777070063696,2.2026413513151155,,,,,,
120324637,12617713239,0,1362798585,residential,,,Carrer del Campament,True,False,19.563076560489336,"LINESTRING (-0.4271973 39.4995807, -0.4273443 39.499589, -0.4274247 39.4995935)",31.754777070063696,2.2178419159539806,,,,,,
120324651,120324687,0,"[13075723, 13075725]",residential,,,"['Carrer del Mariscal Foch', 'Carrer de Sot de Xera']",True,False,146.45292784662593,"LINESTRING (-0.4222249 39.5017664, -0.4222519 39.5018052, -0.422524 39.5021949, -0.4224563 39.5022126, -0.4215047 39.5024613)",31.754777070063696,16.603188209590407,,,,,,
120324651,1328253447,0,142497424,residential,1,,Carrer de Sot de Xera,False,False,39.37182809646855,"LINESTRING (-0.4222249 39.5017664, -0.4221891 39.501714, -0.4220111 39.5014531)",31.754777070063696,4.463535701559326,,,,,,
120324651,"contenedor_C/ CAMPAMENT, 35",0,1364983126,residential,2,,Carrer del Campament,False,True,0.0003161243318613602,"LINESTRING (-0.4222249 39.5017664, -0.4219351248141984 39.50189275242336)",31.754777070063696,3.583862649043041e-05,,,,,,
120324651,"contenedor_C/ CAMPAMENT, 47",0,1364983126,residential,2,,Carrer del Campament,False,True,0.00033757152302455037,"LINESTRING (-0.4222249 39.5017664, -0.422534365651259 39.501631546213076)",31.754777070063696,3.827006816036022e-05,,,,,,
120324687,120324711,0,13075726,residential,,,Carrer del Pouet de la Pedrereta,True,False,36.95540000945477,"LINESTRING (-0.4215047 39.5024613, -0.421446 39.5024027, -0.4213972 39.5023365, -0.4213128 39.5022209, -0.4212814 39.5021778)",31.754777070063696,4.189588222915221,,,,,,
120324711,"contenedor_C/ CAMPAMENT, 35",0,1364983126,residential,2,,Carrer del Campament,False,True,0.0007131677598200271,"LINESTRING (-0.4212814 39.5021778, -0.4219351248141984 39.50189275242336)",31.754777070063696,8.08509513289097e-05,,,,,,
120324711,"contenedor_C/ CAMPAMENT, 9",0,1364983126,residential,2,,Carrer del Campament,False,False,0.0005001998739431029,"LINESTRING (-0.4212814 39.5021778, -0.4208228983403026 39.50237774034597)",31.754777070063696,5.670704417864642e-05,,,,,,
120324725,12651141549,0,44403926,residential,1,,Carrer del Pintor Garnelo,True,False,31.99665388674714,"LINESTRING (-0.4207436 39.5024123, -0.4203731 39.5024451)",31.754777070063696,3.6274212770613747,,,,,,
120324725,"contenedor_C/ CAMPAMENT, 9",0,1364983126,residential,2,,Carrer del Campament,False,False,8.650200264506187e-05,"LINESTRING (-0.4207436 39.5024123, -0.4208228983403026 39.50237774034597)",31.754777070063696,9.806625593218126e-06,,,,,,
120324749,571522821,0,44403154,residential,,,Carrer del Mestre Alberto Luz,True,False,67.21221526353929,"LINESTRING (-0.4198379 39.5027775, -0.4196956 39.502786, -0.4191611 39.5027998, -0.4190553 39.5028025)",31.754777070063696,7.619766135182511,,,,,,
120324749,12651141544,0,643439054,residential,,,Carrer del Campament,True,False,52.940101805570215,"LINESTRING (-0.4198379 39.5027775, -0.419961 39.5027264, -0.4203604 39.5025711, -0.4203868 39.5025601)",31.754777070063696,6.001754195267934,,,,,,
120324749,592520358,0,643439055,residential,2,,Carrer de Felipe Valls,False,False,34.35361149302058,"LINESTRING (-0.4198379 39.5027775, -0.4197696 39.5026655, -0.4196488 39.5025055)",31.754777070063696,3.8946266604864572,,,,,,
