train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
19,-6.231865406036377,67,0.19918811428571429,0.010481344535946846,30720,61.62,452,-0.8251842856407166,0.7830758094787598,20,0.00029895771428571427,-0.18561160564422607
39,-6.240542411804199,139,0.1983762285714286,0.015051471069455147,61440,62.54,440,-0.8254460096359253,0.8788616061210632,40,0.0002978605714285714,0.0516810417175293
59,-5.907003879547119,209,0.19756434285714286,0.012602090835571289,92160,59.88,440,-0.8243252635002136,0.8458462953567505,60,0.0002967634285714285,-0.010709762573242188
79,-7.91237735748291,279,0.19675245714285716,0.010759024880826473,122880,80.3,440,-0.8207429647445679,0.7038015127182007,80,0.0002956662857142857,-0.24809134006500244
99,-6.623284339904785,348,0.19594057142857144,0.02664821967482567,153600,65.91,441,-0.8196486234664917,0.6844733953475952,100,0.00029456914285714284,-0.1893911361694336
119,-6.448215484619141,418,0.19512868571428574,0.010968874208629131,184320,66.51,440,-0.821631908416748,0.7244999408721924,120,0.00029347199999999997,-0.08666658401489258
139,-7.369725227355957,492,0.1943168,0.021682381629943848,215040,75.0,437,-0.8238212466239929,0.7946184873580933,140,0.0002923748571428571,-0.20042145252227783
159,-6.5733723640441895,561,0.19350491428571429,0.005934820976108313,245760,66.19,437,-0.8284932374954224,0.698551595211029,160,0.00029127771428571423,0.06282436847686768
179,-7.118532657623291,630,0.1926930285714286,0.009796500205993652,276480,74.5,438,-0.8220186233520508,0.8695648908615112,180,0.0002901805714285714,-0.5046511888504028
199,-7.1911492347717285,696,0.19188114285714286,0.023587992414832115,307200,70.4,440,-0.8191251754760742,0.9104152917861938,200,0.00028908342857142855,-0.5466440916061401
219,-7.288212776184082,762,0.19106925714285716,0.022354569286108017,337920,77.09,442,-0.8208589553833008,0.8845521807670593,220,0.0002879862857142857,-0.24592840671539307
239,-7.021028518676758,832,0.19025737142857144,0.007241874933242798,368640,68.2,442,-0.820138692855835,0.901023268699646,240,0.0002868891428571428,-0.22880113124847412
259,-6.308604717254639,902,0.1894454857142857,0.013818517327308655,399360,65.26,442,-0.8328577280044556,0.786900520324707,260,0.000285792,-0.07862448692321777
279,-7.229386806488037,971,0.1886336,0.005620668642222881,430080,74.22,442,-0.8286532759666443,0.8255537748336792,280,0.0002846948571428571,-0.36266183853149414
299,-7.033086776733398,1041,0.1878217142857143,0.021469201892614365,460800,72.43,442,-0.8170711398124695,0.8007299304008484,300,0.00028359771428571425,-0.36593198776245117
319,-6.62832498550415,1119,0.1870098285714286,0.022000905126333237,491520,67.94,439,-0.8191570043563843,0.7356187105178833,320,0.0002825005714285714,-0.3387535810470581
