#{"t_start": 1759498024.4811876, "env_id": "None"}
r,l,t
-0.007848,5,0.590939
4.042172,158,2.988925
-0.007848,5,3.034048
5.666612,68,3.683003
1.070421,87,5.079277
4.819704,136,6.864241
5.589718,175,9.060982
2.374077,175,12.001442
1.007116,15,12.170574
6.891989,108,13.744581
4.596654,158,15.824882
-0.007848,5,15.872062
-0.007848,5,15.922349
4.090417,175,18.172187
-0.007848,5,18.229712
0.014068,34,19.241004
4.178683,175,21.448637
2.799733,35,21.760272
2.680927,38,22.73845
2.315951,62,23.280211
-0.007848,5,23.324351
1.081921,11,23.417475
7.33137,95,24.934741
1.488794,36,25.266967
1.83061,38,26.29478
3.930324,141,28.277809
-0.540552,23,28.476259
-0.007848,5,28.519163
-0.163533,10,28.604902
-0.007848,5,28.647263
6.695284,128,30.408913
5.308944,119,32.088656
3.369396,72,33.302123
5.308022,122,35.004402
4.825612,175,37.281187
1.081921,11,37.376326
-0.007848,5,37.416634
1.081921,11,37.509195
-0.786913,72,38.798419
0.854512,16,38.932951
2.992105,175,41.167458
3.433469,175,43.945134
6.829394,175,46.100817
5.12251,175,48.2698
0.037201,56,49.383001
-0.007848,5,49.427193
5.447082,38,49.758625
8.041485,121,51.450728
2.20355,22,51.65049
6.175113,90,53.053954
2.003261,29,53.295458
3.926381,39,53.631078
3.370934,63,54.925126
1.081921,11,55.015213
-0.007848,5,55.059904
-0.007848,5,55.103175
3.368132,175,57.225859
4.456957,175,60.132306
4.807425,175,62.457435
-0.610624,53,63.590914
3.996948,36,63.910482
5.311507,92,65.392531
3.83402,121,66.493742
3.864008,50,67.607479
1.007116,15,67.746086
2.216701,53,68.219786
2.625779,175,71.093065
2.371407,45,71.58494
3.5631,175,74.058278
-0.163533,10,74.838979
3.023266,75,75.53295
5.003304,175,78.49332
-0.163533,10,78.588165
-0.007848,5,78.634467
4.464866,102,79.549117
-0.007848,5,79.596986
7.001619,149,82.164691
-0.212554,16,82.31723
-0.007848,5,82.361133
-0.163533,10,82.449035
4.634014,165,84.520827
-0.163533,10,84.614818
1.0329,17,84.756207
-0.007848,5,84.803298
1.837235,175,87.725979
-0.007848,5,87.780525
5.319384,41,88.193966
2.01383,119,90.153647
1.081921,11,90.300686
-0.007848,5,90.345022
0.59381,57,91.609023
1.007116,15,91.732461
-0.007848,5,91.772855
-0.007848,5,91.814983
1.0329,17,91.958093
1.081921,11,92.056329
4.672105,127,93.800368
6.559397,82,95.273275
6.079511,110,96.900563
-0.163533,10,96.992865
1.702566,59,97.520429
-0.007848,5,97.563946
4.075967,47,98.612065
2.947707,175,100.780929
2.850227,73,101.423117
-0.007848,5,101.469688
-0.493318,27,102.374887
4.133939,79,103.165281
6.442324,170,106.013011
4.734719,175,108.190999
-0.007848,5,108.237561
4.808203,48,108.837844
1.081921,11,109.617878
2.895021,175,112.448987
1.397111,41,112.959983
-0.007848,5,113.014438
3.2668,59,114.584115
3.46072,63,115.394356
-0.007848,5,115.458837
-0.007848,5,115.545152
0.642419,33,117.186308
4.434279,39,117.724284
-0.97791,32,118.124222
-0.007848,5,118.180082
0.402298,26,118.510815
-0.007848,5,118.570239
1.081921,11,118.706969
-0.007848,5,118.767024
-0.007848,5,119.663223
-0.212887,49,120.240175
-0.007848,5,120.294331
7.405972,132,122.657846
-0.007848,5,122.717449
3.019754,175,125.209038
1.94153,52,126.88027
1.941887,28,127.282148
-0.007848,5,127.341423
2.645106,39,127.830753
6.214573,146,130.278965
3.792891,84,131.62529
-0.163533,10,131.715319
4.883844,172,135.042244
1.0329,17,135.230977
4.611206,175,137.598871
2.044061,61,138.812331
4.221698,175,141.198073
3.785605,97,143.015935
1.70998,68,143.754186
-0.007848,5,143.808081
-0.465747,19,144.018326
1.963582,175,147.218005
-0.007848,5,147.272879
2.765002,45,147.744031
0.958095,21,147.969129
-0.238338,14,148.125475
1.007116,15,149.065176
-0.007848,5,149.124942
1.081921,11,149.248062
5.273796,96,150.264344
2.773542,119,152.271017
-0.007848,5,152.325577
-0.163533,10,152.42836
6.25664,57,153.797444
-0.612926,61,154.447561
2.961915,29,155.674999
-0.007848,5,155.725798
-0.007848,5,155.77697
4.440378,175,158.496873
3.546801,65,159.916441
3.773615,97,160.919982
-0.007848,5,160.972655
1.194678,41,162.124883
5.533703,175,164.654778
1.46085,35,165.014929
3.537943,44,166.194578
3.872718,75,166.96671
0.615559,26,167.235007
-0.007848,5,167.292071
3.904939,175,170.570143
-0.007848,5,170.62531
6.888574,128,172.657806
2.683718,142,175.029082
-0.007848,5,175.080162
1.081921,11,175.196112
5.648768,35,175.563282
0.854512,16,176.589046
-0.007848,5,176.638807
5.237299,175,179.197025
0.799412,175,181.884038
1.0329,17,182.064834
-0.007848,5,182.117172
2.132748,50,183.349669
2.713322,83,184.938298
1.941887,28,185.226974
-0.163533,10,185.327028
-0.238338,14,185.469425
2.035059,66,186.16971
3.555216,86,187.912507
8.532248,118,190.027228
3.533356,175,193.032637
2.278355,18,194.02073
1.081921,11,194.1426
1.612121,35,194.525878
2.110121,23,194.77397
-0.238338,14,194.92518
4.574797,175,198.722604
5.89041,175,201.74414
-0.574199,28,202.083019
-0.007848,5,202.139456
-0.007848,5,202.192863
4.711061,139,204.521215
7.078218,110,206.480022
5.044133,62,208.037346
5.848109,102,209.114362
2.110121,23,210.054458
1.0329,17,210.22128
-0.313143,18,210.38861
5.042565,49,210.864963
-0.007848,5,210.910941
4.437724,67,212.202279
6.981024,144,214.318538
-0.007848,5,214.367157
-0.238338,14,214.499861
-0.007848,5,214.54941
-0.007848,5,214.593983
2.673907,40,215.715818
1.281624,46,216.292702
2.913462,110,218.055093
-0.007848,5,218.100933
2.559237,126,220.31655
3.579038,175,222.883502
2.072396,25,223.138391
