train/n_updates,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/iterations,time/time_elapsed
29,-0.4307921826839447,445,0.016982343047857285,0.00029777279999999997,0.1236176,70.78,23040,-0.033769845962524414,-0.19738703966140747,0.571905255317688,30,51
59,-0.4197683036327362,440,0.031628236174583435,0.0002954688,0.1222352,69.23,46080,0.08233761787414551,-0.09107176959514618,0.5760018825531006,60,104
89,-0.4351268410682678,441,0.0017664253246039152,0.0002931648,0.1208528,67.39,69120,-0.04630017280578613,-0.10805372893810272,0.5253849029541016,90,156
119,-0.43343862891197205,445,0.017892640084028244,0.0002908608,0.1194704,64.21,92160,0.05940699577331543,-0.10908722877502441,0.5623435378074646,120,207
149,-0.4490683078765869,442,-0.010589130222797394,0.0002885568,0.118088,61.88,115200,0.09672266244888306,0.013731926679611206,0.3692406117916107,150,260
179,-0.43730807304382324,441,0.0189858078956604,0.00028625279999999997,0.11670559999999999,59.0,138240,0.05194205045700073,-0.11309602856636047,0.4057626724243164,180,312
209,-0.42869409918785095,442,0.027108540758490562,0.0002839488,0.1153232,61.4,161280,-0.017475485801696777,-0.2446075975894928,0.7284320592880249,210,364
239,-0.45218342542648315,442,0.03456301614642143,0.0002816448,0.1139408,56.48,184320,-0.08265399932861328,-0.08820336312055588,0.6009983420372009,240,416
269,-0.450486421585083,442,0.01673807203769684,0.0002793408,0.1125584,60.66,207360,-0.09690201282501221,-0.2244388610124588,0.6981571912765503,270,468
299,-0.42637085914611816,441,0.019422639161348343,0.0002770368,0.111176,68.45,230400,-0.0038944482803344727,-0.2696534991264343,0.4660062789916992,300,521
329,-0.43632692098617554,440,0.010769380256533623,0.00027473279999999997,0.1097936,60.22,253440,0.004144906997680664,-0.27255696058273315,0.7036323547363281,330,575
359,-0.43970197439193726,436,0.02608322910964489,0.0002724288,0.1084112,57.62,276480,0.05382722616195679,-0.34899285435676575,0.6100665330886841,360,632
389,-0.4347125291824341,436,0.021655885502696037,0.0002701248,0.10702880000000001,62.5,299520,0.157015860080719,-0.30926454067230225,0.5003190040588379,390,686
419,-0.4101097285747528,433,0.051428359001874924,0.0002678208,0.1056464,55.39,322560,0.023394465446472168,-0.17223216593265533,0.5837752223014832,420,743
449,-0.4306151270866394,432,0.01579904928803444,0.0002655168,0.104264,63.74,345600,-0.08283829689025879,-0.1272173374891281,0.6975326538085938,450,799
479,-0.442992627620697,431,0.038838714361190796,0.0002632128,0.1028816,63.83,368640,0.08520281314849854,-0.2284589558839798,0.6686418056488037,480,854
509,-0.4461357295513153,431,0.03484643995761871,0.0002609088,0.1014992,70.99,391680,0.1087794303894043,-0.024449076503515244,0.6340144872665405,510,908
539,-0.4309360980987549,430,0.014327283017337322,0.0002586048,0.1001168,62.89,414720,-0.014564037322998047,-0.18004029989242554,0.5837922692298889,540,963
569,-0.4393830895423889,430,0.04418986663222313,0.0002563008,0.0987344,60.41,437760,0.07250827550888062,-0.05510096624493599,0.7253141403198242,570,1016
599,-0.45426616072654724,429,0.0038784462958574295,0.0002539968,0.097352,63.13,460800,0.027756094932556152,-0.13923661410808563,0.5424284338951111,600,1072
629,-0.4214218556880951,429,0.016759555786848068,0.0002516928,0.0959696,62.64,483840,-0.17796599864959717,-0.2170778512954712,0.5837492942810059,630,1125
659,-0.45440539717674255,416,0.039074838161468506,0.0002493888,0.0945872,68.0,506880,0.036969780921936035,-0.27363595366477966,0.5592736601829529,660,1218
689,-0.4212481379508972,372,0.009628436528146267,0.0002470848,0.0932048,68.43,529920,0.030083835124969482,-0.14852909743785858,0.8836676478385925,690,1420
719,-0.43102121353149414,338,0.04088037461042404,0.0002447808,0.0918224,68.46,552960,0.09138458967208862,-0.3209892511367798,0.6823808550834656,720,1633
749,-0.4444348216056824,313,0.01174937468022108,0.0002424768,0.09044,69.56,576000,0.004298806190490723,-0.29141849279403687,0.7262198328971863,750,1837
779,-0.4265476167201996,292,0.057874646037817,0.00024017279999999998,0.0890576,69.65,599040,0.1260523796081543,-0.3698444664478302,0.6883923411369324,780,2050
809,-0.4376564025878906,274,0.0038068932481110096,0.00023786879999999997,0.08767520000000001,66.77,622080,-0.28735339641571045,-0.1964709609746933,0.7778578996658325,810,2269
839,-0.4345226287841797,260,0.018019966781139374,0.0002355648,0.0862928,49.72,645120,-0.16578352451324463,-0.4143652021884918,0.5894960761070251,840,2480
869,-0.4437125623226166,248,0.019024329259991646,0.0002332608,0.0849104,69.3,668160,0.07827287912368774,-0.2621912956237793,0.8792502284049988,870,2690
899,-0.41214796900749207,238,0.027133306488394737,0.0002309568,0.08352799999999999,69.87,691200,0.08165311813354492,-0.023288466036319733,0.5139037370681763,900,2897
929,-0.40349483489990234,229,0.025158286094665527,0.00022865279999999998,0.0821456,64.24,714240,0.08546441793441772,-0.29296672344207764,0.7024041414260864,930,3109
959,-0.4451647698879242,221,0.007635605987161398,0.00022634880000000002,0.08076320000000001,63.51,737280,-0.07910394668579102,-0.33516448736190796,0.5629454255104065,960,3321
989,-0.44625598192214966,214,0.03247720003128052,0.00022404480000000001,0.0793808,66.11,760320,0.03678315877914429,-0.15707319974899292,0.5729892253875732,990,3537
1019,-0.419536292552948,208,0.03103628382086754,0.0002217408,0.0779984,68.72,783360,0.009427487850189209,-0.0657852366566658,0.5932124853134155,1020,3751
1049,-0.4242038130760193,203,0.016140490770339966,0.0002194368,0.076616,45.4,806400,0.049231648445129395,-0.45277640223503113,0.6947089433670044,1050,3961
1079,-0.4048961400985718,198,0.011840678751468658,0.00021713279999999998,0.07523360000000001,63.19,829440,-0.15928077697753906,-0.4604911506175995,0.632781445980072,1080,4174
1109,-0.4650900959968567,194,-0.01867665722966194,0.0002148288,0.0738512,73.18,852480,-0.04074299335479736,-0.0011499023530632257,0.5719914436340332,1110,4386
1139,-0.4219684302806854,190,0.013149498961865902,0.00021252480000000002,0.0724688,64.04,875520,-0.07908308506011963,-0.3368646204471588,0.6578109264373779,1140,4595
1169,-0.44025325775146484,186,0.0059747882187366486,0.0002102208,0.0710864,76.56,898560,0.10038614273071289,-0.14913250505924225,0.48573923110961914,1170,4805
1199,-0.4350498616695404,183,0.020136872306466103,0.0002079168,0.069704,75.57,921600,0.14467614889144897,-0.3117869794368744,0.4381120204925537,1200,5021
1229,-0.44803428649902344,180,0.019970066845417023,0.00020561279999999998,0.06832160000000001,68.18,944640,0.012584507465362549,-0.3185117840766907,0.6441888213157654,1230,5233
1259,-0.4415189027786255,177,-0.0013743540039286017,0.0002033088,0.0669392,59.9,967680,-0.15494322776794434,-0.42792952060699463,0.7528654336929321,1260,5447
