time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/entropy_loss,train/policy_loss,train/learning_rate,train/n_updates
32768,0.015056729316711426,1.0535680055618286,-1.0290793180465698,368,4,20.22,0.24868928,89,-0.6247438192367554,-0.00026171375066041946,0.000199164416,3
65536,0.09017419815063477,1.1143741607666016,-0.9319352507591248,335,8,19.96,0.24737856,195,-0.6393438577651978,-0.015068570151925087,0.00019805030400000002,7
98304,0.028660714626312256,1.173540711402893,-0.7640418410301208,197,12,24.56,0.24606784,498,-0.6321622133255005,-0.021897614002227783,0.000196936192,11
131072,0.06483840942382812,1.1743959188461304,-0.5517112016677856,216,16,24.87,0.24475712,605,-0.6366735696792603,-0.030406206846237183,0.00019582208000000002,15
163840,0.10371726751327515,1.0956016778945923,-0.7038964629173279,233,20,22.88,0.2434464,703,-0.6456732153892517,-0.045639559626579285,0.00019470796800000003,19
196608,0.10821062326431274,1.0137652158737183,-0.7022404670715332,245,24,23.09,0.24213568,800,-0.643354058265686,-0.0525376982986927,0.000193593856,23
229376,0.1299670934677124,0.9749525785446167,-0.5372052192687988,254,28,24.94,0.24082496,900,-0.6382436156272888,-0.055595651268959045,0.00019247974400000002,27
262144,0.1494227647781372,1.0327411890029907,-0.11768326908349991,261,32,26.09,0.23951424,1000,-0.6302809119224548,-0.06871935725212097,0.000191365632,31
294912,0.1529046893119812,1.0011012554168701,-0.03011951968073845,267,36,26.11,0.23820352,1101,-0.6218212842941284,-0.07674206048250198,0.00019025152000000001,35
327680,0.19940930604934692,0.8772538900375366,-0.007711335550993681,271,40,26.18,0.23689280000000001,1204,-0.6136026382446289,-0.0810210257768631,0.000189137408,39
360448,0.18508118391036987,0.9532526731491089,0.3053742051124573,275,44,28.3,0.23558208,1309,-0.6091175079345703,-0.08671019226312637,0.000188023296,43
393216,0.20732402801513672,0.8615571856498718,0.4776800572872162,278,48,28.48,0.23427136,1411,-0.5984621047973633,-0.09199851751327515,0.00018690918400000002,47
425984,0.2797304391860962,0.7270960807800293,0.8218646049499512,281,52,33.19,0.23296064,1511,-0.5897574424743652,-0.0915549248456955,0.000185795072,51
458752,0.3526095151901245,0.666115403175354,0.7498352527618408,284,56,32.64,0.23164992,1614,-0.579023003578186,-0.09461157768964767,0.00018468096,55
491520,0.3808135390281677,0.6359593868255615,1.1876929998397827,286,60,33.67,0.2303392,1716,-0.5701045393943787,-0.09186214208602905,0.000183566848,59
524288,0.4578257203102112,0.552510142326355,0.9992629289627075,288,64,31.46,0.22902848,1815,-0.5544494390487671,-0.09079787135124207,0.000182452736,63
557056,0.4965698719024658,0.5437306761741638,1.4512187242507935,290,68,32.31,0.22771776,1918,-0.5348167419433594,-0.08588095009326935,0.00018133862400000002,67
589824,0.5615262687206268,0.4497247338294983,1.2649344205856323,291,72,31.36,0.22640704,2021,-0.5204834938049316,-0.09199132025241852,0.00018022451200000003,71
622592,0.5955341160297394,0.44316476583480835,1.5765949487686157,293,76,33.06,0.22509632,2123,-0.5138132572174072,-0.1007232666015625,0.0001791104,75
655360,0.6192417144775391,0.40280187129974365,1.7502402067184448,294,80,35.96,0.2237856,2224,-0.5115695595741272,-0.10396090149879456,0.000177996288,79
688128,0.6728143692016602,0.352627694606781,1.7112929821014404,295,84,34.57,0.22247487999999999,2326,-0.5104910135269165,-0.09961902350187302,0.000176882176,83
