#{"t_start": 1760634838.662108, "env_id": "None"}
r,l,t
-0.726011,48,1.055892
-2.744129,41,1.539033
0.505234,24,1.828008
0.195833,90,2.890107
-0.593218,65,3.640442
-7.246152,175,5.716441
-6.961853,175,7.834215
-0.883599,175,10.0525
-1.887848,175,12.294722
1.914064,69,22.140073
-1.01941,96,23.281768
0.687098,47,23.856391
-5.17663,175,25.949417
-1.991253,33,26.362549
-5.421393,175,28.572228
0.775534,45,29.148911
-4.143103,175,31.380869
2.284645,66,32.230901
-4.580614,175,34.471683
-0.962998,156,45.18136
-6.275296,158,47.080186
-0.910581,19,47.304889
-1.912684,119,48.773885
-0.080872,142,50.588832
-4.195269,175,52.80994
-3.360898,145,54.642906
-2.037688,88,55.748927
-1.953638,149,66.540317
0.391139,51,67.150032
-1.958878,87,68.196448
-2.523174,175,70.353904
-2.959834,175,72.630041
0.292626,62,73.432163
4.216257,100,74.681138
-0.628866,85,75.781886
-1.018353,23,76.072203
-5.05783,175,87.359093
-5.755107,156,89.178285
-3.7045,129,90.731785
-0.152951,134,92.34012
-1.885056,119,93.895457
-1.079472,21,94.196269
-0.192677,37,94.719091
0.466724,78,95.820054
0.642385,80,96.909809
-4.869187,175,99.120486
1.804714,47,99.713275
0.049316,38,109.339969
-1.022025,57,110.010174
1.412158,17,110.210143
-1.362446,110,111.520424
0.925698,65,112.330321
1.156915,80,113.325582
-2.982313,175,115.54912
1.359205,27,115.901196
-2.157625,175,118.161673
-0.688886,115,119.645617
-0.350411,174,121.928459
-6.468695,175,133.237149
-1.68586,10,133.350431
-1.637617,162,135.290417
0.184862,175,137.483062
-2.540348,175,139.762515
1.813997,38,140.248936
-1.48495,151,142.189042
-5.713099,103,143.510883
-2.088476,50,144.16293
0.259265,46,153.610547
2.618335,175,155.723215
4.801979,57,156.419199
0.052642,175,158.620319
-0.928651,117,160.140123
0.115024,175,162.433339
-1.20242,79,163.469516
0.149786,175,165.698138
1.311829,70,175.740924
-2.055225,16,175.922392
1.488633,135,177.532597
1.159847,132,179.139488
-2.876065,175,181.315389
1.702291,15,181.521589
-0.85675,160,183.561064
2.831719,66,184.414787
3.932916,81,185.478917
-1.593533,13,185.649242
0.441914,175,187.906628
-0.773663,126,198.435918
0.280206,16,198.626671
0.739614,57,199.317163
-1.470038,116,200.73338
2.436031,77,201.703736
-1.395537,64,202.539109
-2.149938,141,204.383237
-0.475812,60,205.17918
-2.950671,83,206.28987
-0.959092,15,206.480054
0.564941,117,208.017431
3.0918,65,208.91057
-2.975602,30,209.412181
-1.62339,30,209.845795
-0.695998,78,219.898061
-2.32686,126,221.515201
-0.684759,13,221.671661
-2.021592,12,221.813064
-2.05147,175,224.013839
-0.173069,175,226.563117
-0.276309,123,228.375724
-2.886641,175,230.768868
-0.292635,146,232.807322
1.256278,125,243.849099
-0.342825,69,244.713613
-2.882509,175,246.964153
1.06391,26,247.310107
0.992045,70,248.25308
1.850261,89,249.480526
-2.052526,13,249.666921
1.416353,76,250.845088
0.22332,86,252.166227
-0.192595,67,253.098802
-1.275419,167,255.34051
-3.088499,175,266.401818
1.263012,18,266.620042
2.483671,175,268.730108
0.445918,69,269.600978
-1.296896,41,270.11989
1.101656,76,271.074012
0.699761,175,273.35051
1.426796,152,275.329124
0.375255,91,276.515669
-0.423087,175,287.631727
0.543966,142,289.373234
-1.30228,175,291.533609
2.904138,175,293.780538
2.611726,76,294.761986
2.582485,91,295.930096
-1.174955,175,298.220888
2.186444,11,298.389188
2.031685,12,298.538896
-0.401617,145,300.478055
0.447104,69,310.458148
-1.697681,175,312.518206
-2.690573,141,314.283901
4.483709,131,315.943396
-1.780225,15,316.138968
0.656614,33,316.55892
1.253775,25,316.879173
1.073834,32,317.283385
1.886317,14,317.460711
0.869088,61,318.266981
-0.49274,12,318.423734
2.101568,175,320.668823
-1.609092,9,320.78291
0.211933,25,321.108198
-3.234596,175,332.629143
3.166676,44,333.194647
3.888139,58,333.904635
0.806903,105,335.934555
2.102672,110,340.530427
0.586097,14,341.208086
0.817898,40,343.237291
-1.808082,11,343.783053
1.790681,148,351.026319
-0.67308,139,358.880734
2.940667,114,364.375633
1.690967,90,368.625443
-0.79318,166,404.7629
3.92858,175,414.18627
1.319311,133,421.258906
1.70227,61,424.096963
0.605843,60,427.110433
-0.276445,175,436.39803
-1.426493,44,438.743179
-1.603485,23,439.7145
1.12339,71,443.30991
2.207453,126,448.719959
1.696507,38,450.402927
1.902665,175,485.946734
2.672442,105,491.170416
1.469868,145,498.296977
-1.913102,32,499.089862
2.805753,112,500.550331
6.458999,44,501.153026
-0.519604,164,503.296354
-0.900485,122,504.754616
1.870928,58,505.523426
-1.023941,175,541.483528
1.872345,13,542.313292
3.455795,91,547.088096
3.783578,69,550.295445
-1.563637,9,550.796321
-0.857577,130,557.596027
-0.60041,175,565.511054
4.726255,86,569.375978
-0.134573,23,570.513649
2.037979,143,578.383354
-2.177174,175,587.513016
1.174215,53,617.782151
-1.365969,141,625.185078
0.760183,175,633.692188
-2.325088,111,638.98194
0.055458,175,647.743173
2.122555,17,648.650054
-0.149958,175,657.683334
1.0562,175,666.703216
0.383095,175,706.799061
-2.364844,175,712.015874
5.670353,95,713.252908
0.056989,121,714.808352
1.539363,73,715.737793
-1.856945,49,716.380896
2.785051,77,717.35211
0.228962,39,717.854482
0.584955,57,718.595196
1.409931,175,721.056486
0.499046,117,731.409453
-2.106867,175,733.55811
-0.676267,17,733.776453
-0.474887,15,733.960977
-1.563637,9,734.068844
1.912367,135,735.789987
2.518255,69,736.681771
4.014539,83,737.765378
0.941189,101,739.160311
5.661055,73,740.249373
1.258537,31,740.711915
0.614834,175,744.228328
2.953673,42,746.651106
-2.715438,47,757.757959
0.241895,97,758.872219
-0.011288,111,760.213861
-0.698448,13,760.380819
3.516566,47,761.013623
1.198493,31,761.443224
1.526723,90,762.707969
1.022783,59,763.463553
-0.700503,42,764.025829
1.850989,43,764.589837
0.727786,53,765.251749
-1.593533,13,765.411053
0.238042,175,770.731921
1.60928,31,772.445932
-0.452804,175,783.201196
3.502692,175,808.887928
0.720047,81,813.053651
2.755072,175,822.768512
-1.379436,47,825.431811
-0.188994,15,826.243802
3.553996,55,829.006827
0.605351,108,834.089576
-0.11551,83,838.186733
1.197784,175,845.793788
3.640762,76,849.013302
-1.471221,67,879.308275
-0.793118,98,884.091685
-0.171912,175,892.581767
2.081722,175,901.967015
-1.045585,91,906.311944
-0.528894,13,906.91285
2.6862,150,913.98958
-1.746592,10,914.438459
1.967856,12,915.066914
-0.290362,11,915.541364
0.199719,175,924.44595
-1.33898,163,960.396873
2.143662,11,960.945058
1.684893,150,967.949971
2.895932,44,969.824751
-2.680911,161,977.148831
0.441775,149,983.939469
-0.109867,175,992.584199
-2.344022,175,1001.228108
2.231068,36,1003.218327
2.892671,175,1041.929862
0.698793,13,1042.661582
1.394831,56,1045.642235
1.213007,153,1052.791795
4.529596,85,1057.092198
1.128993,20,1058.093009
1.213634,80,1062.112134
-1.746592,10,1062.760357
1.77705,44,1065.108933
0.012863,175,1074.141088
-0.4344,135,1080.903853
3.059737,87,1085.119508
2.949273,175,1120.839212
3.911301,38,1122.559535
-0.690019,13,1123.298898
3.187562,82,1127.257374
0.858013,12,1128.001358
-1.363103,32,1129.501567
-1.410984,175,1138.102383
1.734849,16,1138.99133
1.221336,57,1141.628078
1.017981,28,1142.984355
1.653887,34,1144.699892
2.851765,175,1153.314513
2.377349,58,1156.257957
-0.356897,175,1164.433583
3.430426,102,1196.27173
1.902894,13,1196.833988
0.006262,10,1197.264944
2.602389,32,1198.597291
2.942692,86,1202.73898
2.607648,144,1209.428768
3.249035,159,1217.30198
4.519892,40,1219.322942
1.480876,104,1224.656056
1.799497,151,1232.348233
2.021304,175,1241.835169
1.251381,126,1277.342186
2.671653,97,1282.250343
0.052336,175,1291.155236
2.680365,49,1293.898022
-0.789962,18,1294.902929
