train/n_updates,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/ent_coef,time/total_timesteps,time/fps,time/iterations
99,31.28,1.4211543798446655,0.0004,-0.014687588438391685,45,-0.18172067403793335,2.899618625640869,0.0012559890747070312,0.9981568,19200,422,100
199,42.59,4.118099212646484,0.0004,-0.01374211348593235,89,-0.1593342274427414,3.6619443893432617,-5.4955482482910156e-05,0.9963136,38400,429,200
299,54.55,8.158586502075195,0.0004,0.07565609365701675,133,-0.17324642837047577,4.412527561187744,2.6702880859375e-05,0.9944704,57600,430,300
399,31.72,2.3787081241607666,0.0004,-0.07108263671398163,177,-0.15208321809768677,3.2691757678985596,0.0004482865333557129,0.9926272,76800,432,400
499,32.86,3.3608932495117188,0.0004,-0.08137211203575134,220,-0.17344999313354492,2.811335563659668,-8.177757263183594e-05,0.990784,96000,434,500
599,44.9,1.8873116970062256,0.0004,-0.0850946307182312,266,-0.18785950541496277,3.15354585647583,0.0008211135864257812,0.9889408,115200,432,600
699,55.77,2.578108549118042,0.0004,0.041590966284275055,310,-0.16403335332870483,3.8564014434814453,0.00098419189453125,0.9870976,134400,433,700
799,19.25,1.4304933547973633,0.0004,-0.015576212666928768,353,-0.15892237424850464,2.3421247005462646,0.0005133748054504395,0.9852544,153600,434,800
899,65.8,1.1574654579162598,0.0004,-0.019833344966173172,400,-0.16941702365875244,4.586915969848633,0.0009441971778869629,0.9834112,172800,431,900
999,30.62,1.7607104778289795,0.0004,-0.02116982266306877,444,-0.13993385434150696,3.176408052444458,0.0008627176284790039,0.981568,192000,431,1000
1099,42.51,5.016323089599609,0.0004,0.010691161267459393,490,-0.17183099687099457,3.9030323028564453,-1.6689300537109375e-05,0.9797248,211200,430,1100
1199,31.96,1.1057016849517822,0.0004,-0.06734353303909302,538,-0.14823512732982635,3.1415741443634033,0.0016738176345825195,0.9778816,230400,427,1200
1299,43.49,2.6531317234039307,0.0004,0.02514900639653206,583,-0.16033142805099487,3.737253427505493,-0.0003401041030883789,0.9760384,249600,427,1300
1399,18.89,4.484700679779053,0.0004,0.019767649471759796,630,-0.1735725998878479,2.476898193359375,2.396106719970703e-05,0.9741952,268800,426,1400
1499,30.73,1.856649398803711,0.0004,0.012096568942070007,675,-0.1836462914943695,3.519350051879883,0.0011099576950073242,0.972352,288000,426,1500
1599,88.79,2.0326297283172607,0.0004,-0.07098197191953659,719,-0.19638429582118988,6.019413948059082,0.00026232004165649414,0.9705088,307200,427,1600
1699,42.67,4.111268997192383,0.0004,0.014490663073956966,766,-0.16826359927654266,4.624924659729004,0.0008886456489562988,0.9686656,326400,425,1700
1799,19.21,1.2770203351974487,0.0004,-0.021818604320287704,812,-0.1794193983078003,2.210663080215454,0.0004356503486633301,0.9668224,345600,425,1800
1899,31.74,2.124882698059082,0.0004,-0.005218170583248138,856,-0.16418105363845825,3.2203965187072754,0.0011565685272216797,0.9649792,364800,425,1900
1999,43.06,1.5653047561645508,0.0004,-0.011523228138685226,901,-0.1554567664861679,3.0426011085510254,0.00029164552688598633,0.963136,384000,425,2000
2099,33.04,0.9684300422668457,0.0004,0.03853263705968857,945,-0.18717026710510254,3.27896785736084,0.0028281211853027344,0.9612928000000001,403200,426,2100
