#{"t_start": 1759512138.4326427, "env_id": "None"}
r,l,t
-0.2,2,0.512707
-3.698716,175,2.839077
-0.2,2,2.861825
-4.33804,175,5.017712
0.80235,13,5.128008
-0.180886,6,5.17919
-0.2,2,5.195194
-3.269089,175,7.859941
-0.2,2,7.880055
-0.180886,6,7.927605
-0.280886,7,7.991267
-1.575398,152,9.902356
-0.2,2,9.927309
0.406827,175,12.09438
-0.480886,9,12.771758
-0.180886,6,12.819267
-0.79765,15,12.943685
-0.177399,81,13.626844
-1.721716,175,16.480728
2.294313,175,18.590975
-0.453962,32,18.906164
-0.2,2,18.926183
2.256142,98,20.467719
-0.2,2,20.487613
-0.2,2,20.500942
-0.2,2,20.524184
