rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_loss,train/entropy_loss
125.96153846153847,9,421,-3.1515657901763916,1,4096,0.49772672,,,,,,
121.109375,23,342,-3.1502490043640137,2,8192,0.49545344,9.959040000000001e-05,1,0.43614470958709717,-0.07644796371459961,0.014695214107632637,-0.6614673137664795
121.88297872340425,37,331,-3.152247905731201,3,12288,0.49318016,9.91808e-05,2,0.3444099426269531,-0.10024404525756836,0.018221275880932808,-0.662556529045105
121.82,49,330,-3.2231884002685547,4,16384,0.49090688,9.877120000000001e-05,3,0.38606762886047363,-0.1899423599243164,0.0129605233669281,-0.6609949469566345
125.75,62,326,-3.287890672683716,5,20480,0.4886336,9.83616e-05,4,0.3580470681190491,-0.13338792324066162,0.011036546900868416,-0.6619921922683716
123.22,75,327,-3.3202176094055176,6,24576,0.48636032,9.795200000000001e-05,5,0.45946604013442993,-0.20270657539367676,0.014267496764659882,-0.6628652811050415
127.63,95,300,-3.6790904998779297,7,28672,0.48408704,9.75424e-05,6,0.378925085067749,-0.09288811683654785,0.019246384501457214,-0.6626409292221069
117.14,107,303,-3.4515914916992188,8,32768,0.48181376,9.71328e-05,7,0.3494930863380432,-0.027807235717773438,0.01108148880302906,-0.6609143018722534
122.5,119,307,-3.4501428604125977,9,36864,0.47954048,9.67232e-05,8,0.3507271409034729,-0.17083978652954102,0.012258002534508705,-0.6616240739822388
114.65,131,311,-3.0091171264648438,10,40960,0.4772672,9.63136e-05,9,0.3774697482585907,-0.14880597591400146,0.018912184983491898,-0.6612234115600586
124.1,143,313,-3.343437910079956,11,45056,0.47499392,9.590400000000001e-05,10,0.3450092673301697,-0.03920173645019531,0.012806852348148823,-0.6607242822647095
117.23,155,315,-3.4546422958374023,12,49152,0.47272064,9.54944e-05,11,0.4005834460258484,-0.19697058200836182,0.012986982241272926,-0.6611276268959045
121.64,167,316,-3.619401216506958,13,53248,0.47044736,9.508480000000001e-05,12,0.34350618720054626,-0.083251953125,0.015895970165729523,-0.6612328886985779
112.67,180,317,-3.3034965991973877,14,57344,0.46817408,9.46752e-05,13,0.34690237045288086,-0.18403255939483643,0.013130804523825645,-0.661185622215271
122.99,192,318,-3.297543525695801,15,61440,0.4659008,9.426560000000001e-05,14,0.36278483271598816,-0.06137669086456299,0.007503333501517773,-0.6623128652572632
121.63,205,318,-3.3819074630737305,16,65536,0.46362752,9.3856e-05,15,0.3498441278934479,-0.05919694900512695,0.011904356069862843,-0.6613724231719971
124.42,218,319,-3.534928321838379,17,69632,0.46135424,9.34464e-05,16,0.3760119676589966,-0.16206443309783936,0.018951917067170143,-0.6606149673461914
121.98,230,319,-3.5148098468780518,18,73728,0.45908096,9.30368e-05,17,0.3815377950668335,-0.16761672496795654,0.01442667469382286,-0.6610270738601685
121.61,243,320,-3.2735517024993896,19,77824,0.45680768,9.26272e-05,18,0.37789827585220337,-0.17011213302612305,0.00538773275911808,-0.6628072261810303
122.61,255,320,-3.549623966217041,20,81920,0.4545344,9.22176e-05,19,0.3218076527118683,0.014256477355957031,0.011870285496115685,-0.6606922745704651
