time/fps,train/policy_loss,train/value_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/ent_coef,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance
330,0.008447439409792423,1.1608390808105469,0.000199442944,16384,1,0.248427136,2,90.58,2.8285210132598877,49,-0.3648506700992584,-0.2555527687072754
284,0.005870317108929157,0.8641178607940674,0.000198328832,32768,3,0.246854272,4,84.38,2.7871298789978027,115,-0.3455820679664612,-0.26871633529663086
265,0.0047940537333488464,0.7395861148834229,0.00019721472000000002,49152,5,0.245281408,6,95.4,3.462566614151001,185,-0.33673155307769775,-0.03183150291442871
252,0.003425664734095335,0.6541648507118225,0.000196100608,65536,7,0.243708544,8,89.38,3.291140556335449,259,-0.3300764560699463,0.24839037656784058
250,0.00022311857901513577,0.5924960970878601,0.000194986496,81920,9,0.24213568,10,100.63,3.529812812805176,326,-0.3228185176849365,0.4160844087600708
250,-0.01331004686653614,0.4343987703323364,0.000193872384,98304,11,0.240562816,12,87.77,3.2378406524658203,392,-0.32113000750541687,0.6431573927402496
249,-0.011048347689211369,0.4420705735683441,0.000192758272,114688,13,0.238989952,14,91.94,3.5711584091186523,460,-0.31872397661209106,0.662580281496048
248,-0.011159520596265793,0.35543978214263916,0.00019164416000000002,131072,15,0.237417088,16,97.54,3.439816951751709,527,-0.31569069623947144,0.7537939548492432
248,-0.015905847772955894,0.32082879543304443,0.000190530048,147456,17,0.235844224,18,91.68,3.4193849563598633,594,-0.3164837658405304,0.7973740696907043
246,-0.017357908189296722,0.33011263608932495,0.00018941593600000002,163840,19,0.23427136,20,96.95,3.805149793624878,664,-0.3162047266960144,0.7672454863786697
245,-0.017537953332066536,0.27042001485824585,0.000188301824,180224,21,0.232698496,22,91.57,3.655118942260742,735,-0.32100895047187805,0.8203691691160202
242,-0.02355097606778145,0.3228128254413605,0.000187187712,196608,23,0.231125632,24,85.07,3.5865097045898438,811,-0.321824848651886,0.7640454322099686
236,-0.02409016340970993,0.27984488010406494,0.00018607360000000002,212992,25,0.229552768,26,91.96,3.6223344802856445,902,-0.3227471113204956,0.7817280739545822
