time/total_timesteps,time/fps,train/n_updates,train/policy_loss,time/iterations,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,time/time_elapsed
6144,337,3,0.023886922746896744,4,0.7930326759815216,0.2978229522705078,64.25,0.09883264,-13.003297805786133,0.00019861760000000001,-0.8836030960083008,18
12288,329,7,0.02253170870244503,8,0.7090028524398804,0.27747803926467896,111.06,0.09766528000000001,-23.189241409301758,0.0001967744,-0.9028037786483765,37
18432,334,11,0.056270480155944824,12,0.7183501422405243,0.20281653106212616,135.61,0.09649792,-28.611953735351562,0.0001949312,-0.8946861028671265,55
24576,334,15,0.07241471111774445,16,0.6082065403461456,0.3377665877342224,136.89,0.09533056000000001,-29.25601577758789,0.000193088,-0.8890341520309448,73
30720,336,19,0.0626368522644043,20,0.7169716060161591,0.3210223317146301,152.25,0.0941632,-32.3651008605957,0.0001912448,-0.8915766477584839,91
36864,339,23,0.10815919935703278,24,0.5757772624492645,0.27618953585624695,175.69,0.09299584000000001,-37.47124099731445,0.0001894016,-0.903689980506897,108
43008,339,27,0.08366360515356064,28,0.7270289957523346,0.27890852093696594,224.48,0.09182848,-46.715797424316406,0.0001875584,-0.9028444290161133,126
49152,340,31,0.04657289385795593,32,0.7548329383134842,0.16466742753982544,205.91,0.09066112000000001,-42.43050765991211,0.00018571520000000002,-0.8976146578788757,144
55296,341,35,0.0623791329562664,36,0.7380092442035675,0.382404088973999,191.62,0.08949376,-39.23127746582031,0.000183872,-0.8835169076919556,162
61440,342,39,0.06201198697090149,40,0.7832439541816711,0.26535141468048096,158.63,0.0883264,-33.49381637573242,0.00018202880000000001,-0.8581487536430359,179
67584,344,43,0.09681841731071472,44,0.7257786393165588,0.26760631799697876,176.56,0.08715904000000001,-37.00282669067383,0.0001801856,-0.8968531489372253,196
73728,345,47,0.08407798409461975,48,0.7814206928014755,0.28487199544906616,169.45,0.08599168,-35.56966018676758,0.0001783424,-0.9101352095603943,213
79872,345,51,0.07901500165462494,52,0.7031367123126984,0.3993770480155945,191.32,0.08482432000000001,-40.15077209472656,0.0001764992,-0.8708391189575195,230
86016,345,55,0.11942766606807709,56,0.610865980386734,0.2818949222564697,194.76,0.08365696,-40.763553619384766,0.000174656,-0.8999389410018921,248
92160,345,59,0.07857300341129303,60,0.7336961030960083,0.25082194805145264,208.47,0.0824896,-43.87700653076172,0.0001728128,-0.8956329822540283,266
98304,346,63,0.03578728809952736,64,0.5395197868347168,0.42034709453582764,214.39,0.08132224,-44.797218322753906,0.0001709696,-0.879427433013916,284
104448,346,67,0.0824097990989685,68,0.7266964316368103,0.21340326964855194,224.84,0.08015488000000001,-46.829654693603516,0.00016912640000000002,-0.9053270816802979,301
110592,346,71,0.06460699439048767,72,0.7784791588783264,0.2498587667942047,225.17,0.07898752,-46.55678176879883,0.00016728320000000002,-0.9198794364929199,319
116736,346,75,0.09203078597784042,76,0.17969709634780884,0.4981991648674011,192.4,0.07782016,-39.82548141479492,0.00016544000000000002,-0.893368124961853,336
122880,346,79,0.09297549724578857,80,0.7499326467514038,0.25388023257255554,151.6,0.07665280000000001,-31.25815200805664,0.0001635968,-0.8767703771591187,354
129024,346,83,0.07878760993480682,84,0.6194228529930115,0.3050403296947479,153.52,0.07548544,-32.473365783691406,0.0001617536,-0.9176124930381775,372
135168,346,87,0.07710310071706772,88,0.8273735642433167,0.31959980726242065,169.36,0.07431808000000001,-35.1160774230957,0.00015991040000000003,-0.8702465295791626,390
141312,346,91,0.0680098831653595,92,0.73626708984375,0.3638402819633484,212.79,0.07315072,-43.866615295410156,0.0001580672,-0.9172977209091187,407
147456,346,95,0.07061547785997391,96,0.6708219051361084,0.23431333899497986,154.77,0.07198336,-31.870328903198242,0.00015622400000000003,-0.880373477935791,425
153600,346,99,0.06810592114925385,100,0.8209492713212967,0.2508052587509155,164.45,0.070816,-33.70133972167969,0.00015438080000000002,-0.8908897638320923,442
159744,347,103,0.07808583229780197,104,0.7031411528587341,0.28590255975723267,133.78,0.06964864000000001,-27.429399490356445,0.0001525376,-0.8815433979034424,460
165888,346,107,0.06408268213272095,108,0.783159539103508,0.34490105509757996,129.21,0.06848128,-27.076581954956055,0.00015069440000000002,-0.8794514536857605,478
172032,346,111,0.08875413984060287,112,0.63439080119133,0.23716720938682556,155.69,0.06731392,-32.622257232666016,0.00014885120000000002,-0.8983755111694336,496
178176,345,115,0.06407731771469116,116,0.6318173408508301,0.24664460122585297,190.89,0.06614656000000001,-40.546600341796875,0.000147008,-0.8817917704582214,515
184320,345,119,0.04957858845591545,120,0.6752376854419708,0.29679322242736816,218.74,0.0649792,-46.459991455078125,0.0001451648,-0.9095810651779175,532
190464,346,123,0.09973793476819992,124,0.7853794693946838,0.21096587181091309,221.56,0.06381184000000001,-47.13661193847656,0.0001433216,-0.9040225744247437,550
196608,346,127,0.0853426605463028,128,0.6025852262973785,0.22893111407756805,187.93,0.06264448,-39.23323059082031,0.0001414784,-0.9181641936302185,567
202752,346,131,0.05921376869082451,132,0.6583682298660278,0.31339573860168457,176.2,0.06147712000000001,-36.4195442199707,0.0001396352,-0.9198678731918335,585
208896,346,135,0.11916109174489975,136,0.7744879722595215,0.17673316597938538,169.07,0.060309760000000004,-35.05122375488281,0.00013779200000000003,-0.9283983707427979,603
215040,346,139,0.06793349236249924,140,0.7536893635988235,0.30618447065353394,152.95,0.059142400000000005,-31.25774574279785,0.0001359488,-0.8888180255889893,621
221184,346,143,0.08507966995239258,144,0.6040441691875458,0.3966984748840332,126.71,0.057975040000000005,-26.13677215576172,0.00013410560000000002,-0.8801050186157227,638
227328,346,147,0.12263090908527374,148,0.75260891020298,0.43601930141448975,116.0,0.056807680000000006,-24.703022003173828,0.00013226240000000002,-0.8706916570663452,656
233472,346,151,0.07891795039176941,152,0.6256274580955505,0.20933863520622253,140.07,0.05564032,-29.701162338256836,0.0001304192,-0.882742166519165,674
