#{"t_start": 1758680633.007184, "env_id": "None"}
r,l,t
3.432094,76,8.162091
-0.462497,8,8.274649
2.845502,14,8.4234
-0.462497,8,8.477326
3.662025,22,8.687627
-0.462497,8,8.803544
3.903473,15,8.965168
-0.843698,15,9.129078
5.151576,32,9.454924
-0.462497,8,9.508395
-0.462497,8,9.626071
-0.462497,8,9.679247
-0.462497,8,9.791656
-4.482265,1200,22.835958
5.151576,32,23.17541
-0.462497,8,23.229253
3.9513,36,23.65889
-0.462497,8,23.712885
3.500371,20,23.916814
-0.843698,15,24.083043
3.640016,65,24.816205
-0.462497,8,24.953343
3.662025,22,25.194513
-0.462497,8,25.355394
2.266261,76,26.251385
-0.462497,8,26.391963
4.66466,41,26.922094
-0.462497,8,26.98332
2.662025,23,27.230641
-0.462497,8,27.360036
3.662025,22,27.621977
-0.462497,8,27.751621
3.903473,15,27.939321
-0.843698,15,28.114729
3.391231,24,28.358366
-0.462497,8,28.487725
3.662025,22,28.721634
-0.462497,8,28.848077
3.391231,24,29.136838
-0.462497,8,29.309699
3.903473,15,29.535516
-0.462497,8,29.59868
3.662025,22,29.821472
-0.462497,8,29.950377
3.391231,24,30.197365
-1.224899,22,30.484118
3.903473,15,30.65145
-0.462497,8,30.709285
3.662025,22,31.002732
-0.462497,8,31.06267
5.151576,32,31.421729
-0.462497,8,31.549639
3.391231,24,31.797306
-0.462497,8,31.928375
5.613747,1200,45.932688
5.151576,32,46.291677
-0.462497,8,46.348315
3.420577,29,46.685908
-1.6061,29,47.020914
3.903473,15,47.190882
-0.843698,15,47.361704
3.910128,40,47.778617
-0.462497,8,47.906689
3.903473,15,48.081171
-0.843698,15,48.191299
-0.843698,15,48.362909
4.397885,48,48.922892
-0.843698,15,49.098891
3.391231,24,49.461971
-0.462497,8,49.523668
4.66868,46,50.058631
-0.843698,15,50.230288
3.391231,24,50.543689
-1.224899,22,50.761995
2.614373,39,51.181608
-0.462497,8,51.31285
5.151576,32,51.686304
-0.462497,8,51.748129
3.903473,15,51.925585
-0.462497,8,52.054658
3.500371,20,52.272651
-0.462497,8,52.446668
5.151576,32,52.806644
-0.462497,8,52.866445
-0.462497,8,52.98608
-0.462497,8,53.046252
-0.462497,8,53.17011
2.138132,78,54.029025
-0.462497,8,54.082392
3.017475,34,54.445859
-0.462497,8,54.562564
2.238465,46,55.074705
-0.462497,8,55.129069
-0.462497,8,55.247239
3.944337,67,56.108065
-0.462497,8,56.161821
2.420577,30,56.493469
-0.462497,8,56.61113
4.151576,33,56.961222
-0.843698,15,57.126736
5.151576,32,57.490639
-0.462497,8,57.544779
3.903473,15,57.712514
-0.843698,15,57.904499
3.662025,22,58.114656
-0.843698,15,58.283504
3.662025,22,58.55938
-0.843698,15,58.726714
3.903473,15,58.895357
-0.843698,15,58.996409
5.151576,32,59.346125
-0.843698,15,59.523278
3.903473,15,59.690923
-0.462497,8,59.813548
4.910128,39,60.21248
-0.462497,8,60.329461
3.903473,15,60.499353
-0.462497,8,60.556183
3.903473,15,60.726745
-0.462497,8,60.89321
4.427232,53,61.508029
-0.843698,15,61.668285
3.662025,22,61.8867
-0.462497,8,62.012274
3.903473,15,62.172307
-0.843698,15,62.329413
3.258923,27,62.573695
-0.843698,15,62.735675
5.151576,32,63.076713
-0.462497,8,63.193317
3.391231,24,63.429215
-0.462497,8,63.544424
3.662025,22,63.772736
-0.462497,8,63.897616
