#{"t_start": 1758894548.1693556, "env_id": "None"}
r,l,t
9.323115,15,0.932973
242.420285,1500,29.631219
3.791493,22,30.36075
3.906584,29,30.670838
31.12851,336,37.231871
3.525698,15,37.406457
4.369367,43,38.407595
5.121057,71,39.74911
101.213799,1500,68.555696
33.512529,491,77.425611
3.715144,29,78.23826
2.942509,13,78.384529
3.430539,15,78.560043
4.098796,43,79.535415
2.950324,8,79.623014
4.094278,43,80.614709
4.090259,43,81.12373
3.422799,15,81.860726
3.422692,15,82.086178
3.422978,15,82.254814
3.422764,15,82.437425
3.42309,15,83.20772
4.365394,57,83.8729
3.799451,29,84.715838
5.566742,113,87.075868
5.998203,141,89.740377
3.396202,15,89.916698
3.591748,22,90.169766
3.5917,22,90.918722
4.10291,50,92.020516
3.749236,29,92.371145
2.933405,8,92.46279
3.12723,15,92.629682
3.39478,15,93.286541
3.649837,29,93.642256
5.86116,51,94.693801
80.045957,1500,124.266201
3.572932,22,125.096842
4.934173,99,126.94076
3.376623,15,127.139437
4.311876,71,129.078475
3.00077,31,129.462941
3.55455,22,129.739376
3.368126,15,130.456062
3.371722,15,130.631946
3.779954,36,131.083251
3.281453,22,131.878221
3.553078,22,132.152662
2.764309,15,132.348079
3.37393,15,133.090664
8.145646,91,134.774897
3.368809,15,134.963134
3.370186,15,135.162891
3.881569,36,136.170892
4.008725,50,137.58777
80.073573,1500,169.341193
3.330254,15,169.533054
3.3245,15,170.245051
3.486796,22,170.512712
4.908905,82,172.070334
3.980303,50,173.36603
80.911289,1500,205.2942
2.872335,13,205.455306
4.124528,71,206.866252
3.588911,29,207.230799
3.309542,15,207.959166
67.876887,1500,239.535194
3.325561,15,239.729123
43.834443,836,256.960657
2.890107,8,257.066818
3.317398,15,257.762857
3.606912,29,258.126485
3.316885,15,258.320256
2.749862,10,258.44761
3.32476,15,259.14161
3.762028,36,259.592678
3.51477,29,260.508813
4.16263,71,261.935218
2.870566,16,262.13326
2.889949,8,262.233005
3.473943,22,263.02897
3.325693,15,263.204082
4.329283,78,264.680806
3.046287,15,264.861907
2.890059,8,264.9618
3.318624,15,265.666153
3.609402,29,266.022227
66.007749,1500,300.938537
3.311644,15,301.687981
3.924233,50,302.3668
3.770982,43,303.460814
2.885112,8,303.565927
4.004691,64,304.943799
3.312067,15,305.668142
2.92341,25,305.97864
3.640467,36,306.446766
