osmid,y,x,street_count,highway,ref,railway,contenedor,geometry
115578653,39.4972513,-0.413423,3.0,,,,,POINT (-0.413423 39.4972513)
115579019,39.4969891,-0.4134495,3.0,,,,,POINT (-0.4134495 39.4969891)
120296047,39.5061222,-0.4245721,3.0,,,,,POINT (-0.4245721 39.5061222)
120296061,39.5058795,-0.4246965,3.0,,,,,POINT (-0.4246965 39.5058795)
120296077,39.505778,-0.4245887,3.0,,,,,POINT (-0.4245887 39.505778)
120296083,39.5057539,-0.4243579,3.0,,,,,POINT (-0.4243579 39.5057539)
120296095,39.5057879,-0.4242777,4.0,,,,,POINT (-0.4242777 39.5057879)
120296100,39.5059355,-0.4241792,3.0,,,,,POINT (-0.4241792 39.5059355)
120296117,39.5061278,-0.4243251,3.0,,,,,POINT (-0.4243251 39.5061278)
120296151,39.5042532,-0.4251175,3.0,,,,,POINT (-0.4251175 39.5042532)
120296199,39.503337,-0.4268606,3.0,,,,,POINT (-0.4268606 39.503337)
120296245,39.5031175,-0.4270226,3.0,,,,,POINT (-0.4270226 39.5031175)
120296266,39.5030907,-0.4267908,3.0,,,,,POINT (-0.4267908 39.5030907)
120324535,39.5019051,-0.4263425,3.0,,,,,POINT (-0.4263425 39.5019051)
120324637,39.4995807,-0.4271973,3.0,,,,,POINT (-0.4271973 39.4995807)
120324651,39.5017664,-0.4222249,4.0,,,,,POINT (-0.4222249 39.5017664)
120324687,39.5024613,-0.4215047,3.0,,,,,POINT (-0.4215047 39.5024613)
120324711,39.5021778,-0.4212814,3.0,,,,,POINT (-0.4212814 39.5021778)
120324725,39.5024123,-0.4207436,3.0,,,,,POINT (-0.4207436 39.5024123)
120324749,39.5027775,-0.4198379,4.0,,,,,POINT (-0.4198379 39.5027775)
120324822,39.5063315,-0.4225442,3.0,,,,,POINT (-0.4225442 39.5063315)
120324834,39.5062885,-0.4225887,3.0,,,,,POINT (-0.4225887 39.5062885)
120324893,39.505827,-0.4239087,3.0,,,,,POINT (-0.4239087 39.505827)
257091929,39.4966703,-0.418953,3.0,,,,,POINT (-0.418953 39.4966703)
322517789,39.5040642,-0.4252391,3.0,,,,,POINT (-0.4252391 39.5040642)
322517833,39.5038895,-0.4249636,3.0,,,,,POINT (-0.4249636 39.5038895)
343130276,39.5045644,-0.4206483,4.0,,,,,POINT (-0.4206483 39.5045644)
343130277,39.5042343,-0.4225047,3.0,,,,,POINT (-0.4225047 39.5042343)
343130278,39.5040784,-0.4234153,4.0,,,,,POINT (-0.4234153 39.5040784)
343130279,39.5035992,-0.4245027,3.0,,,,,POINT (-0.4245027 39.5035992)
343130280,39.5031916,-0.4254339,3.0,,,,,POINT (-0.4254339 39.5031916)
343130282,39.5029297,-0.4260297,3.0,,,,,POINT (-0.4260297 39.5029297)
343502542,39.5008984,-0.4189081,4.0,,,,,POINT (-0.4189081 39.5008984)
343505205,39.4985889,-0.4185647,3.0,,,,,POINT (-0.4185647 39.4985889)
343505207,39.5008407,-0.4194077,4.0,,,,,POINT (-0.4194077 39.5008407)
343505208,39.5017814,-0.4197138,3.0,,,,,POINT (-0.4197138 39.5017814)
343505442,39.4984631,-0.4190592,3.0,,,,,POINT (-0.4190592 39.4984631)
343505893,39.4981061,-0.4198401,3.0,,,,,POINT (-0.4198401 39.4981061)
343506539,39.5006556,-0.4208735,4.0,,,,,POINT (-0.4208735 39.5006556)
343506545,39.4997668,-0.4208159,5.0,,,,,POINT (-0.4208159 39.4997668)
343507067,39.5007725,-0.4199382,4.0,,,,,POINT (-0.4199382 39.5007725)
343507940,39.5017556,-0.4202586,3.0,,,,,POINT (-0.4202586 39.5017556)
343507961,39.4998578,-0.4202578,4.0,,,,,POINT (-0.4202578 39.4998578)
343507962,39.5007087,-0.4204646,3.0,,,,,POINT (-0.4204646 39.5007087)
343508568,39.4999458,-0.4196958,4.0,,,,,POINT (-0.4196958 39.4999458)
343508570,39.5000282,-0.4191413,3.0,,,,,POINT (-0.4191413 39.5000282)
343513998,39.4993715,-0.4220654,1.0,,,,,POINT (-0.4220654 39.4993715)
343514000,39.4995842,-0.4217522,4.0,,,,,POINT (-0.4217522 39.4995842)
343514417,39.500986,-0.4180822,3.0,,,,,POINT (-0.4180822 39.500986)
343514794,39.5006446,-0.4225073,4.0,,,,,POINT (-0.4225073 39.5006446)
343514799,39.5009944,-0.4216708,3.0,,,,,POINT (-0.4216708 39.5009944)
343514803,39.5012472,-0.4209192,3.0,,,,,POINT (-0.4209192 39.5012472)
343514896,39.5018018,-0.4191534,3.0,,,,,POINT (-0.4191534 39.5018018)
343515763,39.5018193,-0.4171094,3.0,,,,,POINT (-0.4171094 39.5018193)
343515765,39.5017662,-0.4167109,3.0,,,,,POINT (-0.4167109 39.5017662)
343515768,39.5014082,-0.4148477,3.0,,,,,POINT (-0.4148477 39.5014082)
343516168,39.4993939,-0.4172557,3.0,,,,,POINT (-0.4172557 39.4993939)
343516170,39.5003245,-0.4178455,4.0,,,,,POINT (-0.4178455 39.5003245)
344058397,39.5005529,-0.4249622,4.0,,,,,POINT (-0.4249622 39.5005529)
344058819,39.4999767,-0.4245899,3.0,,,,,POINT (-0.4245899 39.4999767)
344058820,39.4993474,-0.4250501,3.0,,,,,POINT (-0.4250501 39.4993474)
344058823,39.4988797,-0.4254726,3.0,,,,,POINT (-0.4254726 39.4988797)
344058980,39.4995807,-0.4255054,4.0,,,,,POINT (-0.4255054 39.4995807)
